Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD
sn1995E-19950224.27-fast.flm,48.42,1995E,-2.895256916996335,0.4940711462450592,0.012,1.16,N,1.16,-4.6,0.8644,-1.7047430830036645,0.9956373122537676,49772.27
sn1998aq-19981214.54-fast.flm,15.23,1998aq,229.44516386094608,0.3984460603645781,0.0039,1.11,N,1.11,218.8,14.543,-10.64516386094607,14.548457246836175,51161.54
sn1998bp-19980501.47-fast.flm,116.67,1998bp,-1.909945571499546,0.1979218208807521,0.0105,1.79,N,1.79,1.8,0.8051,3.7099455714995457,0.8290712015145337,50934.47
sn1995Y-19950922.41-fast.flm,21.77,1995Y,,,0.0177,,,,39.1,1.7809,,,49982.41
sn1998V-19980419.50-fast.flm,21.71,1998V,30.764694318854833,0.7863180656575585,0.0174,0.99,N,0.99,33.85,1.1019,3.0853056811451687,1.3536911429049998,50922.5
sn2007fc-20070711.47-fast.flm,8.07,2007fc,,,0.0337,,,,6.1,0.5373,,,54292.47
sn1998dx-19980918.15-fast.flm,24.19,1998dx,2.1343198634035287,0.4742933029785619,0.0542,1.32,N,1.32,1.65,0.633,-0.4843198634035288,0.7909760661678165,51074.15
sn2006bk-20060421.30-fast.flm,19.74,2006bk,,,0.0495,,,,31.55,3.1973,,,53846.3
sn2005eq-20051205.24-fast.flm,10.21,2005eq,53.683187560736606,0.3887269193391643,0.029,0.88,91T,0.88,43.65,1.0876,-10.033187560736607,1.1549815486919768,53709.24
sn2007co-20070618.35-fast.flm,45.12,2007co,4.6251217137293095,0.0973709834469328,0.027,1.16,N,1.16,0.25,2.3169,-4.3751217137293095,2.3189451736549147,54269.35
sn2003ep-20030628.44-fast.flm,33.09,2003ep,,,0.0158,,,,53.75,10.9446,,,52818.44
sn2008Q-20080202.11-fast.flm,149.47,2008Q,-7.231425453824891,0.1983930165658169,0.0081,1.25,N,1.25,-3.15,1.0983,4.081425453824892,1.116074674482888,54498.11
sn2003kf-20040102.42-fast.flm,70.58,2003kf,25.43180464561777,0.3970617431010522,0.0074,1.1,N,1.1,22.65,1.1297,-2.781804645617772,1.1974473340545904,53006.42
sn2003fd-20030628.18-fast.flm,13.16,2003fd,,,0.0597,,,,11.8,0.4418,,,52818.18
sn2003hu-20030921.16-fast.flm,7.6,2003hu,1.9162790697720444,1.9534883720930232,0.075,,91T,,-4.75,1.2602,-6.666279069772044,2.3246980147758225,52903.16
sn2005cf-20050608.25-fast.flm,192.15,2005cf,-4.4212617983080875,0.1987083954297069,0.0065,1.1,N,1.1,-4.1,1.1429,0.3212617983080879,1.1600454458400538,53529.25
sn2003it-20031022.26-fast.flm,71.75,2003it,-0.2341235001443398,0.195102916788606,0.0251,1.36,N,1.36,-1.3,0.8993,-1.0658764998556602,0.9202204291034956,52934.26
sn2000fo-20010104.09-fast.flm,13.05,2000fo,,,0.0238,,,,11.0,0.2251,,,51913.09
sn2005M-20050309.26-fast.flm,16.48,2005M,32.44618395303669,1.36986301369863,0.022,0.87,91T,0.87,30.125,0.7985,-2.3211839530366873,1.5855998632377253,53438.26
sn2004ca-20040612.41-fast.flm,60.41,2004ca,,,0.0178,,,,-2.45,1.0457,,,53168.41
sn1997bp-19970508.15-fast.flm,78.97,1997bp,27.42239412873297,0.5950609937518596,0.0083,1.08,HV,1.08,37.85,1.4464,10.42760587126703,1.5640238317509585,50576.15
sn2003ch-20030329.11-mmt.flm,62.5,2003ch,1.765853658534314,0.7804878048780489,0.025,1.22,N,1.22,0.65,0.7175,-1.1158536585343142,1.0601733177001558,52727.11
sn2003ep-20030704.31-mmt.flm,9.38,2003ep,,,0.0158,,,,53.4,14.2962,,,52824.31
sn1997do-19971124.45-fast.flm,164.12,1997do,10.246510246508803,0.099000099000099,0.0101,0.94,HV,0.94,9.0,0.3268,-1.2465102465088034,0.3414663374361071,50776.45
sn2003ag-20030209.41-fast.flm,21.21,2003ag,,,0.0226,,,,-3.05,1.0834,,,52679.41
sn2006cp-20060722.17-fast.flm,6.75,2006cp,40.56539176367129,0.0,0.0223,0.98,HV,0.98,36.7,1.7152,-3.8653917636712904,1.7152,53938.17
sn2000cn-20000604.38-fast.flm,32.76,2000cn,-8.32437713727804,0.0977039570102589,0.0235,1.51,,1.51,-7.7,0.8747,0.6243771372780396,0.8801398486692115,51699.38
sn2002ey-20020910.32-fast.flm,13.46,2002ey,,,0.0385,,,,1.3,1.128,,,52527.32
sn1999cc-19990516.34-fast.flm,50.93,1999cc,-1.2216404886581709,0.2908667830133798,0.0314,1.35,N,1.35,0.15,0.7812,1.3716404886581708,0.8335927815549704,51314.34
sn2006X-20060321.30-fast.flm,69.96,2006X,29.048945483490215,0.7958615200955034,0.0052,1.18,HV,1.18,33.05,1.9033,4.001054516509782,2.0629945344495524,53815.3
sn2008ae-20080211.32-fast.flm,18.88,2008ae,-0.0776623628790857,0.9707795359673818,0.0301,,pec,,-3.225,0.9399,-3.1473376371209145,1.3512308897642344,54507.32
sn2001ck-20010617.29-fast.flm,48.56,2001ck,4.822653909343735,0.1932927418575432,0.0347,1.05,N,1.05,3.9,0.7498,-0.9226539093437354,0.7743139699468212,52077.29
sn2003W-20030207.40-fast.flm,52.88,2003W,-2.2546809136316384,0.0,0.0201,1.14,HV,1.14,1.8,1.2604,4.054680913631638,1.2604,52677.4
sn1996bv-19970102.33-fast.flm,14.67,1996bv,45.56899773778081,0.7868594472312385,0.0167,0.92,,0.92,41.45,0.7791,-4.118997737780809,1.1073141377662663,50450.33
sn2005hk-20051125.22-fast.flm,36.92,2005hk,14.432379072065766,0.493583415597236,0.013,1.56,pec,1.56,26.9,2.5299,12.467620927934233,2.5775993866682687,53699.22
sn2006X-20060225.36-fast.flm,167.99,2006X,5.232789494629961,0.7958615200955034,0.0052,1.18,HV,1.18,6.25,0.5341,1.0172105053700389,0.95846667608672,53791.36
sn1999aa-19990223.25-fast.flm,123.57,1999aa,-0.1478706624620023,0.887223974763407,0.0144,0.78,91T,0.78,0.05,0.5006,0.1978706624620023,1.0187083691591912,51232.25
sn2007cq-20070625.45-fast.flm,58.52,2007cq,-4.04404599493418,0.1948937828883258,0.0262,1.2,91T,1.2,-3.15,1.4626,0.8940459949341801,1.4755278196660753,54276.45
sn1998bu-19990117.46-fast.flm,19.41,1998bu,242.05803170804873,0.4985541928407618,0.0029,1.03,N,1.03,225.0,17.6851,-17.05803170804873,17.692125883940545,51195.46
sn2006le-20061115.44-fast.flm,86.79,2006le,6.9195989777873725,0.2948692746215844,0.0174,0.88,N,0.88,6.3,0.3849,-0.6195989777873727,0.4848668880382113,54054.44
sn1998bu-19980616.17-fast.flm,263.37,1998bu,27.390567354672616,0.4985541928407618,0.0029,1.03,N,1.03,32.9,1.1556,5.509432645327383,1.258557763155551,50980.17
sn2004fu-20041120.11-fast.flm,29.05,2004fu,3.4780023781233025,0.1981767736821244,0.0092,1.08,HV,1.08,-0.05,2.1305,-3.5280023781233023,2.1396972411131103,53329.11
sn2006gt-20060925.36-fast.flm,19.03,2006gt,1.3973966309333146,0.1914241960183767,0.0448,1.66,91bg,1.66,-2.5,0.8692,-3.8973966309333146,0.8900291359395387,54003.36
sn2004ef-20041012.14-fast.flm,14.65,2004ef,25.645004849662783,0.1939864209505334,0.031,1.39,HV,1.39,28.2,0.9827,2.5549951503372164,1.0016636269293189,53290.14
sn1996X-19960426.28-fast.flm,144.79,1996X,8.124751688518367,0.2979737783075089,0.0068,1.26,N,1.26,7.5,0.2766,-0.6247516885183675,0.4065660248457222,50199.28
sn2003kf-20040119.26-fast.flm,46.14,2003kf,42.14810403017582,0.3970617431010522,0.0074,1.1,N,1.1,45.35,1.8773,3.2018959698241787,1.9188312374553544,53023.26
sn2004bk-20040424.32-fast.flm,77.74,2004bk,6.373411534698729,0.2932551319648094,0.023,1.02,HV,1.02,6.57,0.5574,0.1965884653012715,0.6298359567567556,53119.32
sn1999cc-19990517.40-fast.flm,42.83,1999cc,-0.1939111886727647,0.2908667830133798,0.0314,1.35,N,1.35,0.4,0.6836,0.5939111886727647,0.7429081002792691,51315.4
sn2005cc-20050615.18-fast.flm,29.38,2005cc,17.449131513649373,0.4962779156327543,0.0075,1.94,,1.94,26.1,1.1529,8.650868486350628,1.255177349837381,53536.18
sn2001gc-20011205.35-fast.flm,47.84,2001gc,4.365741194934847,1.962130874129304,0.0193,,HV,,5.7,0.677,1.3342588050651534,2.07564124241436,52248.35
sn2007kk-20071011.36-fast.flm,37.16,2007kk,2.074927953893845,1.921229586935639,0.041,,N,,3.45,0.813,1.3750720461061552,2.0861668499228165,54384.36
sn2007su-20071229.08-fast.flm,28.9,2007su,,,0.0279,,,,1.6,1.6478,,,54463.08
sn2007is-20070919.14-fast.flm,44.98,2007is,,,0.0294,,,,-6.5,1.1048,,,54362.14
sn1994ae-19950206.45-fast.flm,59.59,1994ae,68.65478442696116,0.7965747286667331,0.0043,0.96,N,0.96,73.7,2.9185,5.0452155730388455,3.0252559475770773,49754.45
